Category,Data
Movie,The Return of Abhimanyu (Hindi Dub)
Movie,Sivaji The Boss (Hindi Dub)
Movie,Dangerous Khiladi Returns (Hindi Dub)
Movie,Kavan (Hindi Dub)
Movie,Asuravadham (Hindi Dub)
Movie,The Return of Sikander (Hindi Dub)
Movie,Main Insaaf Karoonga 2 (Hindi Dub)
Movie,Mard The Khiladi (Hindi Dub)
Movie,Aakhari Baazi  (Hindi Dub)
Web Series,Thinkistan
Web Series,Bollywood Buzzinga
Web Series,Hey Prabhu!
Web Series,ImMature
Web Series,F Buddies (Hindi)
Web Series,Aafat 
Web Series,Love Ok Please
Web Series,Famously Filmfare Kannada
Web Series,Famously Filmfare Marathi
Web Series,LOL (Lots Of Love)(Telugu)
Web Series,A.I.SHA My Virtual Girlfriend 
Web Series,TVF Pitchers
Web Series,Powder
Web Series,Apharan
Web Series,TVF Tripling
Web Series,TVF Permanent Roommates
Web Series,FLAMES
Web Series,Puncchbeat
Web Series,Little Things
Web Series,Dil Hi Toh Hai Season 2
Web Series,Powder
Web Series,Little Things
Web Series,Apharan
Web Series,Baby Come Naa
Web Series,Official Chukyagiri  
Web Series,Bollywood Buzzinga
Web Series,Famously Filmfare
Web Series,Yudh
Web Series,Hankaar
Web Series,The Great Indian Dysfunctional Family
Shows,Comedy Circus
Shows,Lapataganj
Shows,Partners Trouble Ho Gayi Double
Shows,India Ke Mast Kalandar
Shows,Comedy Circus Ka Naya Daur
Shows,Kahani Comedy Circus Ki
Shows,Lapataganj Ek Baar Phir
Shows,Shrimaan Shrimati Phir Se
Shows,Sahib Biwi Aur Boss
Shows,Family Time With Kapil Sharma
Shows,Chandragupta Maurya
Shows,Betaal Aur Sinhasan Battisi
Shows,Suryaputra Karn
Shows,Porus
Shows,Sankatmochan Mahabali Hanumaan
Shows,Mere Sai - Shraddha Aur Saburi
Shows,Prithvi Vallabh
Shows,Vighnaharta Ganesh
Shows,Peshwa Bajirao
Shows,CID
Shows,Crime Patrol Dial 100
Shows,Powder
Shows,Crime Patrol Satark
Shows,Khotey Sikkey
Shows,Yudh
Shows,Adaalat 2
Shows,Karamchand
Music,Dil Behla Dun Tera
Music,Bom Diggy
Music,Chhod Diya
Music,Jee Len De
Music,Bulleya
Music,Belly Ring
Music,Call
Music,Rehne Do Zara
Music,Maa
Music,Kishmish 
Music,Rahat Fateh Ali Khan - Zaroori Tha
Music,Papa - Neha & Tony Kakkar
Music,Naino Ki Toh Baat - Sonu Kakkar
Music,Sanu Ik Pal / Tere Bin Nayi Lagda
Music,Dil Mein Ho Tum - Sonu Kakkar
Music,Lagaya Dil- Sonu Kakkar
Music,Koi Shor
Music,Laung Gawacha
Music,Heer
Music,Mera Hai Ye Watan - Sonu Kakkar
Music,Insha Allah
Music,Bas Ek Kinng
Music,Talli Hua (Jay Dabhi Mix)
Music,Kola Laka Vellari
Music,Jee Karda (Remix)
Music,Welcome
Music,Kal College Band Ho Jayega
Music,Tu Pagal Premi Awara
Music,Akha India Janta Hai
Music,Mhare Hiwra Main Nache Mor
Music,Chaha To Bahut
Music,Yeh Raat Bheegi Bheegi
Music,Mere Sapno Ki Rani
Music,Koi Sehari Babu
Music,Kora Kagaz Tha
Music,Main Chali Main Chali
News,"Oath-taking ceremony: Narendra Modi, ministers sworn in at a grand ceremony (Part-3)"
News,"Oath-taking ceremony: Narendra Modi, ministers sworn in at a grand ceremony (Part-2)"
News,PM Modi Oath Taking Ceremony  | PM Modi समेत 58 मंत्रियों ने ली शपथ 
News,क्या शरद पवार होंगे कांग्रेस के अध्यक्ष ?
News,"PM Modi Oath Taking Ceremony | Amit Shah Arrives At Rashtrapati Bhavan, Will Join Modi Sarkar 2.0"
News,8-Year-Old Chennai boy can read and write over 106 languages
News,Bollywood brigade pour in wishes for PM Modi's Swearing-In ceremony
News,BJP's Mansukh Lal Mandaviya will be minister in PM Modi's government for the second time
News,List of leaders who received call from PMO to join PM Modi for tea
News,Ministers likely to get a place in PM Modi's Cabinet
News,Baat Cheat Compilation
News,Mere Ek Vote Se Kya Hoga Compilation
News,Peg Pe Charcha Compilation
News,G.E.E.T. Compilation
News,Mythron Compilation
News,Suniye Sarkar
News,The Vinod Dua Show
News,Aap Ki Adalat
News,Kiski Sarkar
News,Satyavachan
News,Frankly Speaking
News,Sawaal Vote Ka
News,Access
News,Chunav Manthan
News,Oh My God
Sports,Post-Match Show:England vs South Africa
Sports,Mid-Innings Show:England vs South Africa
Sports,Pre-Match Show: England vs South Africa
Sports,"England v South Africa, Match 1: Preview"
Sports,Cricbuzz LIVE: South Africa Preview
Sports,Cricbuzz LIVE: England Preview
Sports,England’s self belief makes them favourites to win their first World Cup - Michael Vaughan
Sports,Centerstage @ 2019 Cricket World Cup: Are England ready as a team and host?
Sports,Hashim Amla's form key to South Africa's success - Simon Doull
Sports,The tournament might get predictable due to lack of underdogs - Zaheer Khan
Sports,Cricbuzz LIVE हिन्दी: ऑस्ट्रेलिया टीम का विश्लेषण
Sports,Cricbuzz LIVE हिन्दी: भारतीय टीम का विश्लेषण
Sports,Cricbuzz LIVE हिन्दी: अफ़ग़ानिस्तान टीम का विश्लेषण
Sports,Cricbuzz LIVE हिन्दी: बांग्लादेश टीम का विश्लेषण
Sports,Cricbuzz LIVE हिन्दी: इंग्लैंड टीम का विश्लेषण
Sports,Cricbuzz LIVE हिन्दी: न्यूज़ीलैंड टीम का विश्लेषण
Sports,Cricbuzz LIVE हिन्दी: श्रीलंका टीम का विश्लेषण
Sports,Cricbuzz LIVE हिन्दी: वेस्टइंडीज़ टीम का विश्लेषण
Sports,Cricbuzz LIVE हिन्दी: दक्षिण अफ्रीका टीम का विश्लेषण
Sports,Cricbuzz LIVE हिन्दी: पाकिस्तान टीम का विश्लेषण
